Time,Alor Gajah,Alor Setar,Balik Pulau,Balok Baru Kuantan,Bandaraya Melaka,Banting,Batu Muda,Batu Pahat,Besut,Bintulu,Bukit Rambai,Cheras,Indera Mahkota Kuantan,Jerantut,Kangar,Kapit,Kemaman,Keningau,Kimanis,Klang,Kluang,Kota Bharu,Kota Kinabalu,Kota Tinggi,Kuala Selangor,Kuala Terengganu,Kuching,Kulim,Labuan,Langkawi,Larkin,Limbang,Minden,Miri,Muar,Mukah,Nilai,Paka,Pasir Gudang,Pegoh Ipoh,Pengerang,Petaling Jaya,Port Dickson,Putrajaya,Rompin,Samalaju,Samarahan,Sandakan,Sarikei,Seberang Jaya,Seberang Perai,Segamat,Seremban,Seri Manjung,Shah Alam,Sibu,Sri Aman,Sungai Petani,Taiping,Tanah Merah,Tangkak,Tanjung Malim,Tasek Ipoh,Tawau,Temerloh
2021-03-31 23:00:00,36.0,52.0,56.0,51.0,40.0,39.0,51.0,41.0,29.0,55.0,62.0,54.0,34.0,43.0,43.0,56.0,42.0,51.0,27.0,52.0,23.0,48.0,34.0,45.0,44.0,56.0,30.0,53.0,51.0,35.0,48.0,28.0,55.0,54.0,,28.0,55.0,22.0,51.0,52.0,50.0,58.0,31.0,52.0,57.0,44.0,21.0,37.0,21.0,60.0,57.0,52.0,38.0,37.0,51.0,40.0,24.0,56.0,53.0,30.0,53.0,34.0,52.0,29.0,44.0
2021-04-01 23:00:00,58.0,55.0,54.0,52.0,47.0,62.0,54.0,55.0,36.0,54.0,64.0,58.0,52.0,41.0,36.0,50.0,43.0,54.0,26.0,73.0,44.0,57.0,39.0,47.0,58.0,60.0,42.0,43.0,52.0,27.0,54.0,28.0,53.0,55.0,,34.0,66.0,28.0,48.0,56.0,50.0,67.0,49.0,61.0,60.0,40.0,27.0,38.0,35.0,58.0,58.0,59.0,55.0,47.0,63.0,40.0,39.0,54.0,57.0,54.0,60.0,27.0,55.0,27.0,54.0
2021-04-02 23:00:00,63.0,31.0,36.0,39.0,60.0,62.0,53.0,64.0,19.0,51.0,63.0,61.0,26.0,53.0,33.0,52.0,28.0,55.0,38.0,67.0,53.0,51.0,35.0,45.0,55.0,42.0,47.0,44.0,46.0,36.0,63.0,40.0,46.0,61.0,,29.0,75.0,34.0,53.0,59.0,48.0,74.0,60.0,61.0,60.0,33.0,38.0,36.0,34.0,56.0,38.0,52.0,56.0,53.0,70.0,50.0,31.0,41.0,52.0,37.0,59.0,36.0,59.0,26.0,55.0
2021-04-03 23:00:00,55.0,51.0,53.0,45.0,59.0,54.0,66.0,63.0,39.0,55.0,68.0,59.0,25.0,47.0,52.0,56.0,27.0,43.0,48.0,59.0,44.0,64.0,26.0,23.0,51.0,53.0,53.0,36.0,38.0,38.0,62.0,44.0,50.0,54.0,,28.0,64.0,24.0,45.0,55.0,36.0,64.0,59.0,59.0,57.0,35.0,52.0,29.0,39.0,51.0,45.0,35.0,53.0,48.0,58.0,49.0,49.0,49.0,48.0,58.0,57.0,27.0,53.0,24.0,46.0
2021-04-04 23:00:00,44.0,51.0,52.0,44.0,33.0,48.0,45.0,58.0,49.0,53.0,59.0,53.0,34.0,47.0,48.0,52.0,31.0,39.0,53.0,54.0,44.0,63.0,40.0,39.0,39.0,66.0,48.0,42.0,46.0,52.0,55.0,38.0,53.0,53.0,,40.0,54.0,30.0,42.0,56.0,27.0,56.0,42.0,46.0,58.0,50.0,47.0,34.0,49.0,53.0,53.0,54.0,52.0,37.0,42.0,53.0,55.0,44.0,44.0,60.0,54.0,25.0,59.0,26.0,41.0
2021-04-05 23:00:00,39.0,60.0,63.0,55.0,52.0,54.0,56.0,53.0,31.0,37.0,58.0,59.0,33.0,39.0,57.0,47.0,34.0,33.0,65.0,70.0,30.0,52.0,34.0,46.0,56.0,51.0,45.0,61.0,32.0,55.0,59.0,56.0,62.0,51.0,,36.0,65.0,27.0,49.0,62.0,36.0,73.0,56.0,53.0,62.0,34.0,47.0,48.0,44.0,59.0,64.0,44.0,56.0,59.0,56.0,37.0,34.0,61.0,59.0,51.0,45.0,40.0,62.0,21.0,36.0
2021-04-06 23:00:00,47.0,55.0,57.0,33.0,52.0,52.0,56.0,54.0,29.0,42.0,56.0,58.0,20.0,37.0,37.0,43.0,37.0,48.0,58.0,67.0,35.0,50.0,52.0,31.0,64.0,44.0,39.0,54.0,51.0,42.0,53.0,31.0,59.0,45.0,,31.0,61.0,21.0,42.0,59.0,34.0,69.0,48.0,52.0,61.0,43.0,28.0,56.0,21.0,60.0,66.0,48.0,35.0,57.0,62.0,31.0,33.0,55.0,64.0,63.0,47.0,44.0,61.0,39.0,43.0
2021-04-07 23:00:00,45.0,37.0,51.0,51.0,52.0,58.0,57.0,45.0,45.0,58.0,55.0,57.0,31.0,52.0,36.0,42.0,33.0,59.0,72.0,75.0,34.0,51.0,55.0,29.0,61.0,48.0,38.0,43.0,46.0,34.0,54.0,35.0,57.0,55.0,,34.0,57.0,39.0,40.0,56.0,30.0,71.0,56.0,58.0,61.0,42.0,42.0,61.0,39.0,65.0,57.0,49.0,50.0,58.0,74.0,39.0,28.0,53.0,56.0,53.0,51.0,34.0,54.0,52.0,42.0
2021-04-08 23:00:00,43.0,54.0,57.0,51.0,53.0,53.0,57.0,39.0,56.0,52.0,60.0,56.0,42.0,43.0,55.0,29.0,43.0,51.0,69.0,64.0,28.0,57.0,54.0,41.0,58.0,57.0,60.0,52.0,58.0,49.0,51.0,41.0,58.0,54.0,,38.0,62.0,47.0,42.0,53.0,40.0,62.0,53.0,56.0,62.0,43.0,56.0,53.0,44.0,55.0,58.0,36.0,45.0,54.0,53.0,47.0,35.0,55.0,54.0,55.0,54.0,40.0,56.0,52.0,38.0
2021-04-09 23:00:00,53.0,59.0,59.0,57.0,57.0,52.0,62.0,55.0,57.0,65.0,64.0,65.0,50.0,60.0,60.0,39.0,52.0,46.0,65.0,63.0,47.0,79.0,47.0,53.0,53.0,63.0,65.0,55.0,56.0,57.0,59.0,50.0,57.0,63.0,,53.0,63.0,51.0,53.0,60.0,44.0,74.0,54.0,56.0,68.0,56.0,61.0,52.0,55.0,57.0,60.0,53.0,51.0,60.0,72.0,54.0,53.0,51.0,62.0,64.0,56.0,35.0,63.0,22.0,55.0
2021-04-10 23:00:00,62.0,60.0,65.0,58.0,62.0,60.0,66.0,56.0,59.0,75.0,63.0,66.0,54.0,58.0,62.0,49.0,56.0,44.0,57.0,64.0,54.0,72.0,53.0,56.0,67.0,68.0,65.0,60.0,53.0,60.0,68.0,55.0,66.0,62.0,,55.0,69.0,53.0,56.0,64.0,55.0,73.0,61.0,60.0,73.0,59.0,60.0,38.0,61.0,68.0,65.0,57.0,56.0,62.0,62.0,61.0,55.0,63.0,65.0,70.0,58.0,42.0,67.0,38.0,57.0
2021-04-11 23:00:00,62.0,60.0,54.0,61.0,66.0,72.0,62.0,57.0,60.0,36.0,72.0,68.0,58.0,57.0,61.0,29.0,56.0,30.0,48.0,73.0,60.0,68.0,43.0,55.0,65.0,65.0,38.0,52.0,51.0,58.0,67.0,40.0,54.0,52.0,,31.0,72.0,53.0,60.0,62.0,55.0,72.0,66.0,67.0,75.0,30.0,37.0,44.0,30.0,58.0,54.0,59.0,62.0,57.0,69.0,22.0,25.0,60.0,53.0,70.0,61.0,42.0,62.0,31.0,66.0
2021-04-12 23:00:00,59.0,50.0,56.0,57.0,62.0,53.0,60.0,54.0,58.0,51.0,67.0,61.0,39.0,57.0,54.0,24.0,52.0,41.0,41.0,65.0,53.0,57.0,29.0,54.0,64.0,62.0,26.0,55.0,39.0,53.0,63.0,29.0,58.0,48.0,,35.0,69.0,36.0,57.0,61.0,50.0,71.0,61.0,58.0,73.0,32.0,29.0,29.0,31.0,57.0,58.0,59.0,59.0,59.0,61.0,43.0,32.0,55.0,53.0,62.0,56.0,41.0,66.0,40.0,61.0
2021-04-13 23:00:00,55.0,52.0,59.0,53.0,58.0,59.0,59.0,54.0,41.0,55.0,63.0,64.0,52.0,57.0,51.0,32.0,52.0,50.0,28.0,65.0,52.0,58.0,35.0,54.0,55.0,61.0,45.0,53.0,54.0,51.0,63.0,39.0,58.0,56.0,,26.0,58.0,39.0,55.0,57.0,50.0,72.0,55.0,56.0,72.0,52.0,35.0,31.0,25.0,61.0,63.0,55.0,49.0,57.0,63.0,34.0,21.0,61.0,54.0,62.0,55.0,27.0,62.0,28.0,60.0
2021-04-14 23:00:00,56.0,37.0,52.0,52.0,58.0,56.0,60.0,52.0,39.0,62.0,66.0,59.0,41.0,38.0,36.0,26.0,37.0,53.0,33.0,68.0,52.0,55.0,34.0,47.0,55.0,52.0,37.0,48.0,39.0,34.0,70.0,28.0,52.0,56.0,,33.0,65.0,37.0,56.0,59.0,47.0,70.0,58.0,58.0,77.0,52.0,24.0,36.0,32.0,55.0,56.0,61.0,54.0,65.0,62.0,42.0,27.0,57.0,52.0,52.0,65.0,30.0,59.0,25.0,47.0
2021-04-15 23:00:00,67.0,34.0,48.0,50.0,68.0,60.0,65.0,53.0,51.0,55.0,74.0,69.0,46.0,33.0,41.0,36.0,44.0,54.0,31.0,72.0,52.0,54.0,28.0,60.0,56.0,52.0,43.0,37.0,34.0,30.0,60.0,25.0,49.0,43.0,,32.0,76.0,29.0,64.0,59.0,47.0,76.0,67.0,63.0,72.0,44.0,43.0,45.0,33.0,52.0,54.0,53.0,58.0,54.0,70.0,34.0,29.0,44.0,52.0,50.0,59.0,34.0,59.0,21.0,59.0
2021-04-16 23:00:00,62.0,44.0,34.0,51.0,61.0,60.0,70.0,52.0,53.0,57.0,80.0,65.0,43.0,55.0,39.0,42.0,33.0,54.0,25.0,72.0,56.0,66.0,31.0,57.0,63.0,61.0,46.0,40.0,39.0,32.0,72.0,33.0,33.0,52.0,,35.0,69.0,37.0,61.0,54.0,42.0,78.0,65.0,62.0,73.0,42.0,34.0,41.0,44.0,52.0,51.0,62.0,58.0,52.0,66.0,45.0,37.0,40.0,40.0,61.0,63.0,34.0,61.0,27.0,60.0
2021-04-17 23:00:00,62.0,29.0,29.0,53.0,67.0,55.0,54.0,55.0,56.0,60.0,81.0,57.0,54.0,49.0,30.0,27.0,44.0,49.0,27.0,62.0,52.0,68.0,42.0,34.0,46.0,63.0,51.0,27.0,38.0,23.0,62.0,37.0,32.0,52.0,,48.0,71.0,33.0,56.0,47.0,37.0,74.0,64.0,56.0,70.0,52.0,32.0,34.0,37.0,38.0,34.0,61.0,50.0,45.0,61.0,35.0,32.0,24.0,31.0,63.0,60.0,27.0,50.0,26.0,57.0
2021-04-18 23:00:00,61.0,34.0,24.0,55.0,66.0,53.0,52.0,53.0,58.0,49.0,68.0,53.0,45.0,60.0,30.0,20.0,42.0,52.0,20.0,56.0,56.0,61.0,33.0,57.0,58.0,56.0,26.0,35.0,28.0,29.0,64.0,31.0,34.0,53.0,,24.0,60.0,47.0,65.0,55.0,58.0,55.0,55.0,49.0,76.0,43.0,23.0,52.0,26.0,49.0,51.0,63.0,42.0,52.0,52.0,31.0,23.0,43.0,41.0,61.0,61.0,19.0,58.0,25.0,62.0
2021-04-19 23:00:00,61.0,25.0,24.0,56.0,59.0,56.0,58.0,57.0,48.0,35.0,72.0,59.0,53.0,53.0,25.0,25.0,48.0,56.0,16.0,68.0,59.0,55.0,27.0,59.0,47.0,54.0,46.0,32.0,24.0,22.0,62.0,40.0,44.0,30.0,,25.0,64.0,52.0,62.0,49.0,51.0,72.0,56.0,58.0,71.0,47.0,27.0,38.0,36.0,45.0,44.0,68.0,52.0,48.0,62.0,27.0,26.0,40.0,39.0,57.0,64.0,27.0,56.0,17.0,57.0
2021-04-20 23:00:00,61.0,19.0,38.0,41.0,68.0,59.0,48.0,61.0,39.0,57.0,69.0,57.0,34.0,52.0,22.0,27.0,31.0,58.0,29.0,67.0,64.0,47.0,40.0,65.0,54.0,53.0,52.0,19.0,29.0,20.0,74.0,46.0,31.0,53.0,,41.0,69.0,40.0,69.0,51.0,58.0,64.0,58.0,58.0,75.0,40.0,32.0,49.0,38.0,26.0,28.0,65.0,54.0,39.0,61.0,37.0,43.0,24.0,30.0,52.0,63.0,26.0,49.0,37.0,52.0
2021-04-21 23:00:00,60.0,31.0,43.0,61.0,63.0,58.0,59.0,60.0,35.0,62.0,74.0,60.0,52.0,52.0,31.0,45.0,39.0,59.0,40.0,66.0,61.0,54.0,44.0,54.0,52.0,57.0,53.0,33.0,57.0,24.0,72.0,52.0,47.0,53.0,,48.0,77.0,52.0,57.0,52.0,51.0,73.0,63.0,60.0,80.0,57.0,52.0,51.0,53.0,49.0,52.0,65.0,54.0,63.0,58.0,52.0,55.0,44.0,37.0,35.0,58.0,29.0,53.0,39.0,59.0
2021-04-22 23:00:00,61.0,35.0,33.0,43.0,70.0,55.0,52.0,56.0,36.0,62.0,73.0,56.0,52.0,36.0,37.0,37.0,40.0,61.0,54.0,65.0,57.0,32.0,46.0,53.0,53.0,52.0,53.0,33.0,54.0,24.0,61.0,52.0,41.0,53.0,,52.0,64.0,36.0,58.0,58.0,53.0,64.0,60.0,54.0,80.0,56.0,43.0,40.0,55.0,51.0,46.0,63.0,35.0,35.0,59.0,59.0,38.0,41.0,30.0,27.0,55.0,43.0,54.0,39.0,52.0
2021-04-23 23:00:00,56.0,25.0,23.0,25.0,43.0,41.0,48.0,32.0,34.0,55.0,66.0,49.0,27.0,42.0,20.0,42.0,29.0,64.0,48.0,57.0,32.0,27.0,50.0,48.0,43.0,38.0,50.0,31.0,49.0,23.0,42.0,53.0,33.0,52.0,,38.0,53.0,30.0,44.0,48.0,41.0,57.0,49.0,45.0,74.0,52.0,52.0,36.0,44.0,52.0,36.0,54.0,37.0,48.0,44.0,46.0,39.0,26.0,37.0,19.0,52.0,31.0,53.0,41.0,47.0
2021-04-24 23:00:00,53.0,26.0,15.0,37.0,39.0,36.0,46.0,33.0,20.0,58.0,60.0,51.0,38.0,46.0,19.0,54.0,30.0,54.0,36.0,56.0,39.0,46.0,46.0,40.0,41.0,19.0,57.0,28.0,53.0,20.0,52.0,47.0,22.0,56.0,,53.0,57.0,33.0,54.0,45.0,47.0,59.0,54.0,51.0,69.0,49.0,39.0,41.0,53.0,33.0,23.0,46.0,46.0,36.0,52.0,70.0,47.0,33.0,37.0,18.0,51.0,25.0,52.0,31.0,49.0
2021-04-25 23:00:00,54.0,18.0,28.0,44.0,51.0,56.0,52.0,46.0,24.0,64.0,59.0,50.0,47.0,56.0,18.0,52.0,40.0,55.0,33.0,62.0,40.0,25.0,39.0,48.0,56.0,44.0,58.0,34.0,54.0,25.0,70.0,39.0,45.0,52.0,,54.0,55.0,44.0,60.0,44.0,42.0,63.0,39.0,55.0,71.0,52.0,53.0,36.0,55.0,52.0,39.0,50.0,47.0,53.0,62.0,53.0,47.0,46.0,26.0,22.0,46.0,30.0,52.0,34.0,59.0
2021-04-26 23:00:00,60.0,25.0,29.0,49.0,53.0,69.0,62.0,56.0,37.0,64.0,67.0,61.0,38.0,53.0,22.0,43.0,37.0,52.0,36.0,72.0,54.0,33.0,44.0,54.0,61.0,53.0,56.0,28.0,53.0,23.0,66.0,42.0,39.0,54.0,,52.0,71.0,48.0,62.0,41.0,52.0,88.0,54.0,64.0,79.0,52.0,52.0,37.0,45.0,44.0,39.0,60.0,55.0,52.0,,51.0,46.0,58.0,33.0,33.0,53.0,41.0,54.0,36.0,53.0
2021-04-27 23:00:00,61.0,24.0,24.0,52.0,61.0,59.0,64.0,53.0,31.0,57.0,71.0,67.0,49.0,42.0,19.0,35.0,51.0,44.0,25.0,71.0,51.0,38.0,28.0,62.0,53.0,58.0,51.0,28.0,81.0,20.0,68.0,31.0,29.0,42.0,,44.0,78.0,37.0,67.0,48.0,73.0,73.0,57.0,65.0,64.0,52.0,43.0,37.0,37.0,40.0,38.0,63.0,58.0,35.0,,47.0,34.0,29.0,26.0,20.0,58.0,34.0,48.0,28.0,48.0
2021-04-28 23:00:00,60.0,34.0,31.0,52.0,62.0,61.0,61.0,57.0,46.0,48.0,82.0,63.0,48.0,51.0,34.0,31.0,46.0,42.0,22.0,69.0,52.0,50.0,21.0,55.0,55.0,65.0,51.0,32.0,33.0,18.0,67.0,25.0,45.0,38.0,,88.0,69.0,51.0,63.0,52.0,51.0,75.0,64.0,62.0,41.0,45.0,53.0,26.0,31.0,55.0,50.0,52.0,56.0,48.0,,34.0,26.0,46.0,41.0,34.0,58.0,27.0,51.0,26.0,46.0
2021-04-29 23:00:00,61.0,46.0,32.0,55.0,60.0,68.0,59.0,56.0,50.0,60.0,72.0,64.0,53.0,41.0,37.0,33.0,51.0,39.0,15.0,81.0,41.0,57.0,24.0,48.0,62.0,58.0,27.0,36.0,51.0,26.0,61.0,24.0,42.0,32.0,,88.0,68.0,37.0,57.0,52.0,53.0,80.0,62.0,63.0,51.0,39.0,25.0,36.0,27.0,49.0,42.0,54.0,57.0,52.0,,40.0,30.0,53.0,30.0,45.0,59.0,25.0,55.0,28.0,55.0
2021-04-30 23:00:00,52.0,36.0,54.0,51.0,51.0,64.0,60.0,61.0,49.0,32.0,70.0,59.0,40.0,37.0,29.0,31.0,37.0,53.0,23.0,66.0,35.0,62.0,32.0,49.0,58.0,52.0,21.0,51.0,35.0,35.0,63.0,26.0,55.0,34.0,,46.0,63.0,30.0,63.0,59.0,44.0,75.0,54.0,56.0,39.0,52.0,31.0,33.0,24.0,55.0,54.0,48.0,54.0,50.0,63.0,21.0,31.0,43.0,52.0,47.0,49.0,32.0,58.0,26.0,48.0
2021-05-01 23:00:00,47.0,37.0,52.0,31.0,45.0,53.0,45.0,33.0,41.0,46.0,65.0,43.0,22.0,36.0,24.0,25.0,20.0,51.0,17.0,68.0,27.0,49.0,25.0,37.0,53.0,44.0,21.0,34.0,23.0,18.0,56.0,25.0,47.0,36.0,,29.0,46.0,20.0,52.0,51.0,32.0,56.0,53.0,39.0,32.0,31.0,27.0,26.0,20.0,53.0,43.0,30.0,21.0,57.0,58.0,25.0,38.0,39.0,44.0,33.0,28.0,29.0,49.0,26.0,27.0
2021-05-02 23:00:00,27.0,35.0,32.0,33.0,40.0,37.0,52.0,28.0,33.0,44.0,51.0,37.0,21.0,38.0,33.0,26.0,28.0,41.0,17.0,58.0,27.0,49.0,34.0,23.0,49.0,47.0,35.0,34.0,25.0,31.0,46.0,26.0,33.0,28.0,,29.0,42.0,26.0,30.0,52.0,28.0,55.0,35.0,32.0,30.0,34.0,31.0,28.0,21.0,46.0,34.0,37.0,29.0,46.0,52.0,25.0,39.0,46.0,46.0,44.0,31.0,24.0,40.0,21.0,31.0
2021-05-03 23:00:00,30.0,33.0,43.0,49.0,48.0,41.0,45.0,34.0,51.0,30.0,54.0,50.0,26.0,39.0,31.0,49.0,33.0,41.0,17.0,66.0,33.0,54.0,28.0,21.0,56.0,54.0,23.0,40.0,33.0,28.0,54.0,28.0,45.0,28.0,,53.0,45.0,26.0,42.0,57.0,37.0,61.0,43.0,42.0,29.0,24.0,24.0,38.0,21.0,43.0,38.0,42.0,41.0,53.0,56.0,30.0,30.0,41.0,44.0,48.0,36.0,21.0,53.0,22.0,32.0
2021-05-04 23:00:00,45.0,50.0,43.0,35.0,52.0,55.0,54.0,35.0,49.0,54.0,61.0,56.0,31.0,33.0,41.0,28.0,28.0,38.0,25.0,73.0,33.0,57.0,40.0,24.0,53.0,40.0,35.0,31.0,35.0,38.0,61.0,34.0,53.0,25.0,,34.0,57.0,29.0,40.0,52.0,38.0,67.0,50.0,50.0,28.0,39.0,27.0,31.0,26.0,47.0,52.0,37.0,36.0,44.0,59.0,32.0,25.0,55.0,42.0,53.0,51.0,19.0,57.0,26.0,34.0
2021-05-05 23:00:00,34.0,48.0,26.0,39.0,50.0,58.0,51.0,38.0,47.0,23.0,61.0,57.0,30.0,36.0,34.0,20.0,24.0,44.0,19.0,72.0,36.0,51.0,33.0,26.0,50.0,39.0,25.0,32.0,20.0,32.0,50.0,26.0,46.0,30.0,,22.0,56.0,27.0,46.0,45.0,41.0,63.0,51.0,53.0,43.0,36.0,26.0,34.0,24.0,53.0,56.0,40.0,32.0,29.0,65.0,24.0,24.0,48.0,31.0,45.0,48.0,22.0,55.0,29.0,33.0
2021-05-06 23:00:00,54.0,34.0,33.0,36.0,48.0,56.0,53.0,39.0,35.0,28.0,56.0,54.0,29.0,42.0,35.0,17.0,23.0,35.0,16.0,70.0,36.0,42.0,24.0,45.0,50.0,36.0,35.0,34.0,22.0,21.0,60.0,21.0,46.0,16.0,,16.0,59.0,17.0,57.0,47.0,50.0,64.0,53.0,51.0,34.0,23.0,40.0,37.0,17.0,47.0,42.0,42.0,46.0,43.0,62.0,20.0,20.0,44.0,31.0,41.0,53.0,22.0,52.0,19.0,42.0
2021-05-07 23:00:00,45.0,23.0,47.0,52.0,49.0,65.0,55.0,38.0,28.0,32.0,52.0,55.0,26.0,28.0,21.0,22.0,31.0,39.0,16.0,77.0,29.0,36.0,22.0,45.0,58.0,30.0,20.0,39.0,19.0,20.0,54.0,15.0,51.0,24.0,,21.0,56.0,19.0,56.0,42.0,46.0,63.0,55.0,56.0,35.0,30.0,44.0,33.0,23.0,55.0,48.0,44.0,48.0,40.0,62.0,19.0,21.0,33.0,40.0,27.0,51.0,23.0,52.0,22.0,36.0
2021-05-08 23:00:00,52.0,37.0,44.0,42.0,53.0,67.0,58.0,46.0,51.0,51.0,53.0,65.0,26.0,45.0,34.0,25.0,26.0,45.0,19.0,82.0,33.0,55.0,23.0,23.0,47.0,56.0,30.0,42.0,36.0,29.0,55.0,21.0,52.0,40.0,,39.0,57.0,20.0,51.0,54.0,58.0,72.0,49.0,58.0,40.0,42.0,28.0,25.0,23.0,58.0,55.0,45.0,36.0,37.0,68.0,32.0,53.0,58.0,39.0,54.0,46.0,30.0,57.0,27.0,41.0
2021-05-09 23:00:00,49.0,47.0,48.0,36.0,53.0,61.0,58.0,54.0,53.0,38.0,56.0,67.0,30.0,44.0,48.0,27.0,34.0,45.0,12.0,81.0,41.0,60.0,31.0,26.0,61.0,63.0,20.0,52.0,40.0,34.0,55.0,18.0,55.0,24.0,,24.0,61.0,23.0,51.0,53.0,49.0,70.0,53.0,59.0,50.0,25.0,26.0,29.0,24.0,58.0,60.0,56.0,47.0,54.0,68.0,26.0,42.0,57.0,49.0,53.0,51.0,25.0,52.0,30.0,46.0
2021-05-10 23:00:00,61.0,45.0,45.0,27.0,54.0,65.0,57.0,57.0,55.0,49.0,65.0,58.0,34.0,53.0,46.0,37.0,32.0,35.0,26.0,72.0,53.0,57.0,24.0,21.0,60.0,54.0,30.0,45.0,61.0,43.0,58.0,30.0,52.0,56.0,,27.0,59.0,16.0,55.0,59.0,46.0,65.0,56.0,56.0,42.0,42.0,28.0,33.0,20.0,56.0,52.0,56.0,49.0,57.0,64.0,28.0,32.0,60.0,51.0,55.0,48.0,32.0,63.0,34.0,53.0
2021-05-11 23:00:00,63.0,45.0,52.0,33.0,54.0,73.0,61.0,51.0,41.0,63.0,66.0,60.0,24.0,51.0,44.0,40.0,33.0,42.0,34.0,71.0,47.0,56.0,40.0,28.0,63.0,49.0,48.0,48.0,58.0,24.0,58.0,35.0,55.0,43.0,,34.0,62.0,26.0,52.0,57.0,30.0,61.0,59.0,57.0,53.0,49.0,29.0,27.0,29.0,63.0,57.0,54.0,54.0,64.0,63.0,47.0,38.0,53.0,54.0,56.0,56.0,43.0,57.0,32.0,36.0
2021-05-12 23:00:00,72.0,35.0,55.0,33.0,61.0,91.0,72.0,55.0,43.0,55.0,67.0,72.0,49.0,46.0,29.0,44.0,51.0,48.0,18.0,104.0,57.0,50.0,48.0,43.0,66.0,60.0,40.0,52.0,56.0,26.0,63.0,35.0,54.0,49.0,,29.0,77.0,35.0,67.0,60.0,41.0,68.0,71.0,70.0,46.0,54.0,39.0,27.0,22.0,58.0,56.0,58.0,67.0,60.0,62.0,43.0,56.0,62.0,59.0,51.0,51.0,53.0,60.0,53.0,54.0
2021-05-13 23:00:00,67.0,29.0,55.0,51.0,60.0,124.0,79.0,54.0,47.0,55.0,70.0,98.0,53.0,39.0,35.0,38.0,50.0,50.0,13.0,156.0,53.0,53.0,34.0,56.0,67.0,59.0,58.0,51.0,62.0,25.0,69.0,23.0,59.0,78.0,,26.0,73.0,30.0,70.0,59.0,51.0,151.0,62.0,88.0,53.0,58.0,51.0,27.0,30.0,66.0,62.0,54.0,63.0,55.0,91.0,46.0,39.0,60.0,55.0,50.0,54.0,37.0,56.0,29.0,59.0
2021-05-14 23:00:00,65.0,27.0,34.0,28.0,50.0,56.0,56.0,45.0,50.0,38.0,58.0,65.0,31.0,44.0,34.0,31.0,34.0,30.0,22.0,81.0,30.0,70.0,26.0,40.0,43.0,56.0,39.0,44.0,40.0,29.0,65.0,15.0,42.0,27.0,,18.0,54.0,40.0,64.0,62.0,47.0,69.0,42.0,54.0,52.0,54.0,31.0,17.0,25.0,53.0,54.0,49.0,50.0,41.0,61.0,27.0,53.0,57.0,49.0,54.0,51.0,30.0,61.0,19.0,46.0
2021-05-15 23:00:00,57.0,25.0,30.0,41.0,35.0,62.0,54.0,36.0,56.0,52.0,48.0,62.0,36.0,48.0,25.0,23.0,42.0,38.0,21.0,64.0,36.0,67.0,29.0,38.0,51.0,57.0,25.0,30.0,36.0,24.0,58.0,20.0,26.0,35.0,,28.0,60.0,52.0,56.0,56.0,28.0,63.0,41.0,56.0,48.0,35.0,32.0,28.0,23.0,39.0,28.0,38.0,56.0,52.0,59.0,26.0,40.0,43.0,32.0,59.0,33.0,31.0,58.0,22.0,52.0
2021-05-16 23:00:00,57.0,28.0,44.0,31.0,56.0,72.0,53.0,34.0,37.0,58.0,62.0,65.0,36.0,39.0,26.0,24.0,42.0,28.0,17.0,84.0,41.0,53.0,23.0,38.0,52.0,53.0,28.0,41.0,43.0,25.0,61.0,24.0,37.0,31.0,,24.0,60.0,44.0,57.0,52.0,29.0,60.0,57.0,59.0,47.0,43.0,36.0,30.0,21.0,52.0,35.0,51.0,57.0,54.0,60.0,26.0,29.0,43.0,34.0,47.0,41.0,34.0,54.0,21.0,50.0
2021-05-17 23:00:00,52.0,41.0,41.0,41.0,70.0,59.0,56.0,39.0,30.0,57.0,55.0,60.0,36.0,38.0,37.0,29.0,38.0,33.0,28.0,65.0,47.0,52.0,24.0,31.0,53.0,55.0,34.0,45.0,28.0,24.0,57.0,20.0,46.0,36.0,,27.0,57.0,47.0,56.0,44.0,39.0,65.0,57.0,56.0,56.0,49.0,25.0,24.0,21.0,51.0,55.0,38.0,53.0,44.0,54.0,26.0,23.0,66.0,47.0,37.0,42.0,30.0,53.0,33.0,50.0
2021-05-18 23:00:00,34.0,23.0,32.0,39.0,29.0,40.0,47.0,26.0,27.0,46.0,46.0,52.0,34.0,38.0,21.0,22.0,33.0,38.0,14.0,52.0,38.0,29.0,22.0,46.0,52.0,63.0,35.0,46.0,38.0,21.0,45.0,25.0,37.0,35.0,,21.0,58.0,29.0,43.0,52.0,26.0,56.0,34.0,41.0,52.0,39.0,29.0,29.0,23.0,51.0,52.0,33.0,39.0,51.0,51.0,23.0,25.0,52.0,34.0,27.0,41.0,28.0,56.0,29.0,49.0
2021-05-19 23:00:00,38.0,29.0,45.0,50.0,40.0,54.0,58.0,28.0,26.0,33.0,54.0,62.0,38.0,50.0,28.0,13.0,29.0,35.0,13.0,67.0,27.0,31.0,19.0,50.0,54.0,41.0,23.0,36.0,30.0,22.0,64.0,24.0,39.0,26.0,,14.0,59.0,23.0,53.0,55.0,35.0,72.0,48.0,50.0,57.0,31.0,23.0,29.0,15.0,53.0,42.0,38.0,45.0,50.0,64.0,17.0,24.0,62.0,31.0,32.0,44.0,26.0,55.0,20.0,54.0
